SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025
040,13,000,00000,00000,00000,0,A,Georgia,Georgia,10713861,10732595,10793038,10929992,11063669,11204208,11302748
162,13,000,00184,00000,00000,0,A,Abbeville city,Georgia,2681,2735,2690,2747,2855,2839,2819
162,13,000,00408,00000,00000,0,A,Acworth city,Georgia,22477,22439,22364,22380,22511,22643,22925
162,13,000,00436,00000,00000,0,A,Adairsville city,Georgia,4771,4789,4876,4951,4965,4963,5101
162,13,000,00576,00000,00000,0,A,Adel city,Georgia,5550,5559,5580,5597,5677,5763,5854
162,13,000,00660,00000,00000,0,A,Adrian city,Georgia,551,551,550,561,566,562,566
162,13,000,00828,00000,00000,0,A,Ailey city,Georgia,515,513,514,517,523,519,517
162,13,000,00996,00000,00000,0,A,Alamo town,Georgia,3152,3147,3423,2998,2819,3090,3362
162,13,000,01024,00000,00000,0,A,Alapaha town,Georgia,477,477,477,481,490,493,494
162,13,000,01052,00000,00000,0,A,Albany city,Georgia,69653,69113,66326,67190,66992,66991,66907
162,13,000,01248,00000,00000,0,A,Aldora town,Georgia,165,167,172,177,187,189,192
162,13,000,01472,00000,00000,0,A,Allenhurst city,Georgia,826,824,837,862,880,884,904
162,13,000,01500,00000,00000,0,A,Allentown city,Georgia,198,197,197,194,193,194,192
162,13,000,01612,00000,00000,0,A,Alma city,Georgia,3436,3426,3389,3460,3483,3373,3400
162,13,000,01696,00000,00000,0,A,Alpharetta city,Georgia,65810,65962,66225,67282,67183,67123,66921
162,13,000,01808,00000,00000,0,A,Alston town,Georgia,174,173,176,174,178,175,175
162,13,000,01948,00000,00000,0,A,Alto town,Georgia,975,975,981,994,999,1009,1018
162,13,000,02060,00000,00000,0,A,Ambrose city,Georgia,331,330,334,336,340,345,347
162,13,000,02116,00000,00000,0,A,Americus city,Georgia,16225,16192,15830,15640,15751,15830,15617
162,13,000,02256,00000,00000,0,A,Andersonville city,Georgia,235,235,234,234,235,236,235
162,13,000,02564,00000,00000,0,A,Arabi town,Georgia,452,450,454,456,456,455,453
162,13,000,02592,00000,00000,0,A,Aragon city,Georgia,1440,1451,1468,1478,1509,1514,1523
162,13,000,02648,00000,00000,0,A,Arcade city,Georgia,1867,1881,1907,1920,1970,2014,2035
162,13,000,02844,00000,00000,0,A,Argyle town,Georgia,189,188,187,188,191,192,193
162,13,000,02928,00000,00000,0,A,Arlington city,Georgia,1205,1205,1182,1157,1153,1137,1126
162,13,000,03124,00000,00000,0,A,Arnoldsville city,Georgia,405,405,414,422,427,437,445
162,13,000,03236,00000,00000,0,A,Ashburn city,Georgia,4296,4287,4252,4184,4208,4239,4211
162,13,000,03440,00000,00000,0,F,Athens-Clarke County unified government (balance),Georgia,127357,127283,127928,128744,129210,129429,128612
162,13,000,04000,00000,00000,0,A,Atlanta city,Georgia,498805,500086,493261,500528,513206,520760,529110
162,13,000,04084,00000,00000,0,A,Attapulgus city,Georgia,457,456,454,448,446,444,442
162,13,000,04140,00000,00000,0,A,Auburn city,Georgia,7502,7562,8092,8874,9733,10151,10110
162,13,000,04204,00000,00000,0,F,Augusta-Richmond County consolidated government (balance),Georgia,202071,202053,201040,202291,201408,201979,201999
162,13,000,04252,00000,00000,0,A,Austell city,Georgia,7847,7855,7937,8052,8178,8273,8339
162,13,000,04392,00000,00000,0,A,Avalon town,Georgia,232,232,233,236,238,242,244
162,13,000,04448,00000,00000,0,A,Avera city,Georgia,228,227,225,224,222,221,219
162,13,000,04644,00000,00000,0,A,Avondale Estates city,Georgia,3571,3565,3517,3510,3561,3554,3543
162,13,000,04840,00000,00000,0,A,Baconton city,Georgia,855,851,846,843,841,839,834
162,13,000,04896,00000,00000,0,A,Bainbridge city,Georgia,14500,14480,14256,14302,14405,14570,14606
162,13,000,04980,00000,00000,0,A,Baldwin city,Georgia,3682,3693,3814,3920,4047,4210,4240
162,13,000,05036,00000,00000,0,A,Ball Ground city,Georgia,2410,2436,2613,2789,3006,3292,3470
162,13,000,05344,00000,00000,0,A,Barnesville city,Georgia,6122,6114,5783,6016,6325,6340,6329
162,13,000,05680,00000,00000,0,A,Bartow town,Georgia,187,187,184,182,181,181,177
162,13,000,05708,00000,00000,0,A,Barwick city,Georgia,356,356,355,352,351,355,352
162,13,000,06016,00000,00000,0,A,Baxley city,Georgia,4888,4876,4879,4880,4867,4961,5058
162,13,000,06688,00000,00000,0,A,Bellville city,Georgia,126,126,124,122,124,125,125
162,13,000,07248,00000,00000,0,A,Berkeley Lake city,Georgia,2042,2038,2039,2045,2044,2047,2034
162,13,000,07304,00000,00000,0,A,Berlin city,Georgia,510,509,512,511,517,525,529
162,13,000,07612,00000,00000,0,A,Bethlehem town,Georgia,702,708,726,743,773,796,822
162,13,000,07640,00000,00000,0,A,Between town,Georgia,408,411,432,458,463,482,497
162,13,000,08200,00000,00000,0,A,Bishop town,Georgia,345,348,357,355,358,361,362
162,13,000,08284,00000,00000,0,A,Blackshear city,Georgia,3492,3497,3527,3583,3650,3652,3680
162,13,000,08480,00000,00000,0,A,Blairsville city,Georgia,628,631,716,768,798,843,878
162,13,000,08536,00000,00000,0,A,Blakely city,Georgia,5374,5342,5282,5235,5240,5169,5156
162,13,000,08844,00000,00000,0,A,Bloomingdale city,Georgia,2762,2857,2849,3116,3110,3119,3077
162,13,000,08928,00000,00000,0,A,Blue Ridge city,Georgia,1256,1262,1240,1239,1246,1264,1297
162,13,000,08956,00000,00000,0,A,Bluffton town,Georgia,119,118,119,119,120,117,118
162,13,000,09040,00000,00000,0,A,Blythe city,Georgia,757,756,760,774,781,798,798
162,13,000,09068,00000,00000,0,A,Bogart town,Georgia,1281,1282,1325,1361,1355,1341,1326
162,13,000,09460,00000,00000,0,A,Boston city,Georgia,1210,1210,1216,1220,1224,1240,1251
162,13,000,09488,00000,00000,0,A,Bostwick city,Georgia,379,382,378,388,399,402,406
162,13,000,09544,00000,00000,0,A,Bowdon city,Georgia,2155,2156,2180,2190,2220,2247,2298
162,13,000,09656,00000,00000,0,A,Bowersville town,Georgia,394,394,400,400,414,419,427
162,13,000,09712,00000,00000,0,A,Bowman city,Georgia,872,873,866,870,869,868,868
162,13,000,10076,00000,00000,0,A,Braselton town,Georgia,13417,13607,14398,14896,15613,17473,18496
162,13,000,10104,00000,00000,0,A,Braswell town,Georgia,364,364,365,365,366,368,366
162,13,000,10132,00000,00000,0,A,Bremen city,Georgia,7207,7249,7443,7752,7721,7664,7751
162,13,000,10608,00000,00000,0,A,Brinson town,Georgia,220,220,217,217,214,216,215
162,13,000,10860,00000,00000,0,A,Bronwood town,Georgia,342,340,332,326,323,324,317
162,13,000,10944,00000,00000,0,A,Brookhaven city,Georgia,56736,56756,57052,58022,58311,59558,59643
162,13,000,11000,00000,00000,0,A,Brooklet city,Georgia,1688,1719,1852,2022,2060,2065,2525
162,13,000,11056,00000,00000,0,A,Brooks town,Georgia,571,571,574,576,579,586,584
162,13,000,11504,00000,00000,0,A,Broxton city,Georgia,1049,1047,1059,1057,1066,1079,1080
162,13,000,11560,00000,00000,0,A,Brunswick city,Georgia,15218,15218,15193,15250,15486,15621,15730
162,13,000,11616,00000,00000,0,A,Buchanan city,Georgia,931,933,940,976,949,948,1028
